Result,model_param,Score,type,C,gamma,kernel
0.8343784066969112,0.03125 / 3.0517578125e-05,Accuracy,train,0.03125,3.0517578125e-05,linear
0.8343784066969112,0.03125 / 6.103515625e-05,Accuracy,train,0.03125,6.103515625e-05,linear
0.8343784066969112,0.03125 / 0.0001220703125,Accuracy,train,0.03125,0.0001220703125,linear
0.8343784066969112,0.03125 / 0.000244140625,Accuracy,train,0.03125,0.000244140625,linear
0.8343784066969112,0.03125 / 0.00048828125,Accuracy,train,0.03125,0.00048828125,linear
0.8343784066969112,0.03125 / 0.0009765625,Accuracy,train,0.03125,0.0009765625,linear
0.8343784066969112,0.03125 / 0.001953125,Accuracy,train,0.03125,0.001953125,linear
0.8343784066969112,0.03125 / 0.00390625,Accuracy,train,0.03125,0.00390625,linear
0.8343784066969112,0.03125 / 0.0078125,Accuracy,train,0.03125,0.0078125,linear
0.8343784066969112,0.03125 / 0.015625,Accuracy,train,0.03125,0.015625,linear
0.8343784066969112,0.03125 / 0.03125,Accuracy,train,0.03125,0.03125,linear
0.8343784066969112,0.03125 / 0.0625,Accuracy,train,0.03125,0.0625,linear
0.8343784066969112,0.03125 / 0.125,Accuracy,train,0.03125,0.125,linear
0.8343784066969112,0.03125 / 0.25,Accuracy,train,0.03125,0.25,linear
0.8343784066969112,0.03125 / 0.5,Accuracy,train,0.03125,0.5,linear
0.8343784066969112,0.03125 / 1.0,Accuracy,train,0.03125,1.0,linear
0.8343784066969112,0.03125 / 2.0,Accuracy,train,0.03125,2.0,linear
0.8343784066969112,0.03125 / 4.0,Accuracy,train,0.03125,4.0,linear
0.8343784066969112,0.03125 / 8.0,Accuracy,train,0.03125,8.0,linear
0.8640978453512871,0.0625 / 3.0517578125e-05,Accuracy,train,0.0625,3.0517578125e-05,linear
0.8640978453512871,0.0625 / 6.103515625e-05,Accuracy,train,0.0625,6.103515625e-05,linear
0.8640978453512871,0.0625 / 0.0001220703125,Accuracy,train,0.0625,0.0001220703125,linear
0.8640978453512871,0.0625 / 0.000244140625,Accuracy,train,0.0625,0.000244140625,linear
0.8640978453512871,0.0625 / 0.00048828125,Accuracy,train,0.0625,0.00048828125,linear
0.8640978453512871,0.0625 / 0.0009765625,Accuracy,train,0.0625,0.0009765625,linear
